id;year_published;ISBN;SISO;AVI;category_youth;EAN_wrong;ISSN_wrong;ZIZO;literarytype;SISO_libraries;title;type;category_music;language;keywords_youth;ISSN;author_type;series_title;publisher;age;keywords_local;category_adults;pages;keyword_adults;series_edition;ISBN_wrong;keywords_libraries;author_lastname;EAN;author_firstname;keyword_youth
2^1000440;2008;;;;;;;;;;L;CD;;Onbekend;;;componist;;Deutsche Harmonia Mundi;;;;;;;;;Haydn;886973263228;Joseph;
2^1000441;2008;;;;;;;;fictie;;Carambolages;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Bluwal;;Marcel;
2^1000443;2008;978-90-548-7512-3;;;;;;;;;De ;Boek;;Nederlands;;;;;VUB Press;;;;290 p.;;;;Criminaliteit ; bestrijding ; BelgiÎ;Hebberecht;
2^1000444;2005;;;;;;;;fictie;;Oscar;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Molinaro;;Edouard;
2^1000445;2005;;;;;;;;fictie;;La folie des grandeurs;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Oury;;GÈrard;
2^1000446;2008;;;;;;;;fictie;;Taxi, roulotte et corrida;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Hunebelle;5412012148680;AndrÈ;
2^1000449;2007;;;;;;;;fictie;;Des pissenlits par la racine;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Lautner;;Georges;
2^1000450;2009;9789044124538;;;;;;;;328.6;Laat maar zitten...;Boek;;Nederlands;;;;;Garant;;;;138 p.;;;;Zigeuners;Machiels;;Toon;
2^1000451;2009;9789020982428;ItaliÎ 995;;;;;LAITTC;non-fictie;;100 x Toscane;Boek;;Nederlands;;;auteur;;Lannoo;;;;263 p.;;;;;Takx;;Fabian;
2^1000452;2007;;;;;;;;fictie;;Poisson d;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Grangier;5412012145375;Gilles;
2^1000455;2008;;;;;;;;fictie;;Fantomas se dÈchaÓne;DVD-Video;;Frans;;;regisseur;;Lime-Lights pictures;;;Humoristische films;;;;;;Hunebelle;5412012142190;AndrÈ;
2^1000456;2008;9789067345927;;;;;;;;;Geloof ;Boek;;Nederlands;;;auteur;;Forum, Instituut voor Multiculturele Ontwikkeling;;;;122 p.;;;;Moslims ; jongeren ; Nederland;Korf;
2^1000459;2008;9780761454823;China 995;;;;;LACHHK;non-fictie;;Hong Kong;Boek;;Engels;;;auteur;;Marshall Cavendish;;;;292 p., [16] p. pl.;;;;;Wei;;Betty Peh-T;
2^1000460;2009;9781594032400;;;;;;;;;The Persian night;Boek;;Engels;;;auteur;;Encounter Books;;;;410 p.;;;;Iran ; politiek;Taheri;;Amir
2^1000461;cop. 2009;9789020982015;Frankrijk 995;;;;;LAFRAD;non-fictie;;ArdËche;Boek;;Nederlands;;;;;Lannoo;;;;276 p.;;;;;;;;
2^1000462;cop. 2008;9789001767853;512;;;;;;non-fictie;;In je pocket rekenen;Boek;;Nederlands;Wiskunde;;auteur;;Noordhoff;informatief +12 jaar;;;84 p.;;;;;Roelofs;;Roel;
2^1000463;2009;9789045013244;574;;;;;WTBIEV;non-fictie;;De reis van de Beagle;Boek;;Nederlands;;;auteur;;Atlas;;;;493 p.;;9de, herz. dr.;;;Darwin;;Charles;
2^1000465;2008;9780761454748;Groot-BrittanniÎ 993;;;;;;non-fictie;;Great Britain;Boek;;Engels;;;auteur;;Marshall Cavendish;;;;338 p., [16] p. pl.;;;;;Tan;;Terry;
2^1000466;cop. 2008;9789001767860;Nederlands 837.1;;;;;;non-fictie;;In je pocket taal;Boek;;Nederlands;Nederlandse taal ; secundair onderwijs;;auteur;;Noordhoff;informatief +12 jaar;;;84 p.;;;;;Backers;;Richard
2^1000467;2009;9789020982435;Spanje 995;;;;;LASPAN;non-fictie;;100 x AndalusiÎ;Boek;;Nederlands;;;auteur;;Lannoo;;;;244 p.;;;;;De Coninck;;Toni;
2^1000468;2001;9789034328199;;;;;;;fictie;;De lagere pan-technoschool;Strip;;Nederlands;;;scenario van;;Arboris;;;Stripverhalen;48 p.;;;;;Jodorowsky;;Alexandro;
2^1000469;2009?;9782746920613;Congo-Brazzaville 993;;;;;;non-fictie;;Congo-Brazaville;Boek;;Frans;;;;;Nouvelles Editions de l;;;;256 p.;;Ed. 2009-2010;;;;;;
2^1000472;2009;9789002234675;;;Prentenboeken;;;;fictie;;Bordje leeg, buikje vol;Boek;;Nederlands;;;auteur;;Standaard;vanaf 1 jaar;;;[8] p.;;;;;Amant;;Kathleen;Dag en nacht
2^1000474;cop. 2008;9789056620608;719.2;;;;;;non-fictie;;Huizen in transformatie;Boek;;Meertalig;;;;;NAi;;;;224 p.;;;;Stedenbouw ; vernieuwing;;;
2^1000477;2008;9780761455691;Venezuela 993;;;;;;non-fictie;;Venezuela;Boek;;Engels;;;auteur;;Marshall Cavendish;;;;278 p., [16] p. pl.;;;;;Baguley;;Kitt;
2^1000479;2002;9789067936347;;;;;;;fictie;;Global underground;Strip;;Nederlands;;;scenario van;;Dargaud Benelux;;;Stripverhalen;48 p.;;;;;BollÈe;;Philippe;
2^1000480;2001;9789067936118;;;;;;;fictie;;Experiment IV;Strip;;Nederlands;;;scenario van;;Dargaud Benelux;;;Stripverhalen;48 p.;;;;;BollÈe;;Philippe;
2^1000481;2005;9780552552837;;;Chicklit;;;;fictie;;Girls in tears;Boek;;Engels;;;auteur;;Corgi;vanaf 12-13 jaar;;;190 p.;;;;;Wilson;;Jacqueline;Vriendschap
2^1000483;2001;9789067935937;;;;;;;fictie;;De kleuren van het spectrum;Strip;;Nederlands;;;scenario van;;Dargaud Benelux;;;Stripverhalen;48 p.;;;;;BollÈe;;Philippe;
2^1000484;cop. 2008;9789002231957;929;;;;;TWNNJA;non-fictie;;1953;DVD-Video;;Nederlands;;;;;Standaard;;;;;;;;;;;;
2^1000485;2008;978-90-77875-29-2;556;;;;;;non-fictie;;What if ... abrupt and extreme climate change?;Boek;;Engels;;;;;NWO;;;;115 p.;;;;;;;;
2^1000486;cop. 2009;9789058780522;592.4;;;;;;non-fictie;;Moeten apen ook naar de tandarts? en andere vragen aan de verzorgers in de dierentuin;Boek;;Nederlands;Dieren;;auteur;;Cyclone;informatief +8 jaar;;;40 p.;;;;;Duizer;;Piet;
2^1000487;2009;9789058315076;;;;;;;fictie;;Blinde woede;Boek;;Nederlands;;;auteur;;Sirene;;;Detectives;360 p.;Saint Clare, Bernadette (personage);;;;Persons;;Terri;
2^1000489;1998;9789030333128;;;;;;;fictie;;Basiel M;Strip;;Nederlands;;;illustrator;;Casterman;;;Stripverhalen;48 p.;;;;;Corbeyran;;Eric;
2^1000490;2007;;718.4;;;;;ARROSO;non-fictie;;Prijs bouwheer 07;Boek;;Nederlands;;;auteur;;Vlaams Bouwmeester;;;;127 p.;;;;;T;;Pieter;
2^1000491;2008;9789002219924;;;Zoekboeken;;;;fictie;;Waar is Wally?;Boek;;Nederlands;;;auteur;;Standaard;vanaf 5 jaar;;;[22] p.;;;;;Handford;;Martin;
2^1000492;;8716777928073;;;;;;TWWOKJ;;;Hunting nazis;DVD-Video;;Engels;;;;;A-Film Home Entertainment;;;;;;;;;;;;
2^1000493;;8716777928028;;;;;;TWWOWO;;;Attack and capture;DVD-Video;;Engels;;;;;A-Film Home Entertainment;;;;;;;;;;;;
2^1000494;1998;9789030333111;;;;;;;fictie;;Meneer P.;Strip;;Nederlands;;;illustrator;;Casterman;;;Stripverhalen;48 p.;;;;;Corbeyran;;Eric;
2^1000495;2009;;;;;;;;;;Manhay;CD;BelgiÎ;Onbekend;;;uitvoerder;;PIAS;;;;;;;;;Daan;5413356236064;;
2^10005;cop. 1982;90-6262-491-X;354.6;;;;;;;;Zes overhemden voor Waspam;Boek;;Nederlands;;;auteur;;Heureka;;;;120 p.;;;;;Bastogne;;Hans;
2^1000501;2009;9789021666419;;AVI 9;;;;;fictie;;Pippi Langkous;Boek;;Nederlands;;;auteur;Pippi Langkous;Ploegsma;vanaf 9 jaar;;;230 p.;;;;;Lindgren;;Astrid;
2^1000502;2001;9789030380160;;;;;;;fictie;;In het krijt;Strip;;Nederlands;;;scenario van;;Casterman;;;Stripverhalen;56 p.;;;;;Matz;;Luc;
2^1000505;2008;;;;;;;;;;The gamblers;CD;;Onbekend;;;componist;De gokkers, op. 63;Melodia;;;;;;;;;Sjostakovitsj;743216031924;Dmitri;
2^1000507;cop. 2009;9781409502913;;;Prentenboeken;;;;fictie;;Vliegtuig vlieg;Boek;;Nederlands;;;auteur;;Usborne;vanaf 1 jaar;;;[10] p.;;;;;Watt;;Fiona;Vliegtuigen
2^1000509;cop. 2008;9780061563553;785.9;;;;;MUPMWV;non-fictie;;Worlds of sound;Boek;;Engels;;;auteur;;Smithsonian Books;;;;XVIII, 283 p.;;;;;Carlin;;Richard;
2^1000510;2008;;;;;;;;;;Congo 70;CD;Congo-Kinshasa;Onbekend;;;;;Syllart;;;;;;;;;;3700426905442;;
